category_id,name_en,name_es,description_en,description_es,price_cents,stock,featured,weight,weight_unit,weight_unit_plural_en,weight_unit_plural_es,on_sale,discount_price_cents,ebt_snap_eligible,wic_eligible,is_taxable,is_active,provider_id,fallback_image_url,brand,product_type,group_key,snap_popularity_rank,upc,sold_by,pos_vendor_id,last_scraped_at,pos_export_date
1,English Seedless Cucumber,Pepino Inglés sin Semillas,"Long, mild cucumber with thin skin. Good for salads and sandwiches.",Pepino largo y suave de piel fina. Bueno para ensaladas y sándwiches.,399,0,false,1,each,each,each,true,150,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5476a6d4-ff42-4d01-a194-86bfba1468b4.jpg,,Fresh Vegetables,English Seedless Cucumber,1,4593,unit,4,2026-04-14,2026-04-13
1,Strawberries Package,Paquete de Fresas,"Fresh strawberries. 1 lb package, ready to eat or use in desserts.","Fresas frescas. Paquete de 1 lb, listas para comer o usar en postres.",299,0,false,1,lb,lb,lb,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6086628f-8982-49f1-a41c-1174cb4d8aa4.jpg,,Fresh Fruit,Strawberries Package,1,860324002186,unit,9999,2026-04-14,2026-04-13
1,Kale Bunch,Manojo de Kale,"Leafy green for salads, soups, and smoothies. Sold by the bunch.","Hoja verde para ensaladas, sopas y batidos. Se vende por manojo.",199,0,false,1,each,each,each,true,99,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_73fafe59-a561-4c96-8fdc-f53d46db00db.jpg,,Fresh Vegetables,Kale Bunch,2,4627,weight,4,2026-04-14,2026-04-13
1,Russet Potato Bag,Bolsa de Papas Russet,"5 lb bag of russet potatoes. Great for baking, mashing, and frying.","Bolsa de 5 lb de papas russet. Buenas para hornear, hacer puré y freír.",599,0,false,5,lb,lb,lb,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_790807c0-d316-4f98-9e15-8936ff3f9ca5.jpg,,Fresh Vegetables,Russet Potato Bag,3,605806001390,unit,4,2026-04-14,2026-04-13
1,Yam,Ñame,"Starchy root vegetable. Sold by the pound, great boiled or mashed.","Vianda con almidón. Se vende por libra, sabroso hervido o en puré.",199,0,false,1,lb,lb,lb,true,79,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4e5d4368-a285-4818-a9c4-4b0bec224a59.jpg,,Fresh Vegetables,Yam,4,4816,estimated_each,4,2026-04-14,2026-04-13
1,Broccoli Crown,Corona de Brócoli,Fresh broccoli florets on the stem. Sold by the pound.,Floretes de brócoli frescos en el tallo. Se vende por libra.,249,0,false,1,lb,lb,lb,true,149,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_acbb2641-8b48-4e09-ad1d-1f2f7c2e7c80.jpg,,Fresh Vegetables,Broccoli Crown,5,3082,estimated_each,4,2026-04-14,2026-04-13
1,Ginger Root,Raíz de Jengibre,"Fresh ginger root for tea, stir-fries, and seasoning.","Jengibre fresco para té, sofritos y sazonar comidas.",399,0,false,1,lb,lb,lb,true,299,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8b43d8bb-f653-4dce-b7ce-18f5eedb7025.jpg,,Fresh Vegetables,Ginger Root,6,4612,estimated_each,4,2026-04-14,2026-04-13
1,Cucumber,Pepino,"Single fresh cucumber for salads, snacks, and sandwiches.","Un pepino fresco para ensaladas, meriendas y sándwiches.",133,0,false,1,each,each,each,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c3c55096-5e83-4b5b-8517-f96ac96c7d33.jpg,,Fresh Vegetables,Cucumber,7,4062,unit,4,2026-04-14,2026-04-13
1,Cilantro,Cilantro,"Fresh cilantro bunch. Essential for sofrito, salsa, and rice dishes.","Manojo de cilantro fresco. Esencial para sofrito, salsa y arroces.",99,0,false,1,each,each,each,false,,true,true,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4052743d-a15f-4b47-92e4-22009cdef752.jpg,,Fresh Vegetables,Cilantro,8,4889,unit,4,2026-04-14,2026-04-13
1,Hass Avocado,Aguacate Hass,"Single Hass avocado. Creamy texture, great for guacamole or toast.","Un aguacate Hass. Textura cremosa, ideal para guacamole o tostadas.",167,0,false,1,each,each,each,false,,true,true,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_09ff3801-efef-43e6-a14b-6dc55a3fe4c8.jpg,,Fresh Fruit,Hass Avocado,2,4225,unit,4,2026-04-14,2026-04-13
1,Limes,Limones Verdes,"Single fresh lime for cooking, drinks, and seasoning.","Un limón verde fresco para cocinar, bebidas y sazonar.",83,0,false,1,each,each,each,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_42bb0e57-f304-4375-984a-01f3ba6ddb8f.jpg,,Fresh Fruit,Limes,3,4048,unit,4,2026-04-14,2026-04-13
1,Green Kiwi,Kiwi Verde,"Single green kiwi fruit. Sweet and tart, rich in vitamin C.","Un kiwi verde. Dulce y ácido, rico en vitamina C.",83,0,false,1,each,each,each,true,79,true,true,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7590ddbc-f84e-4a78-ad53-707f62b49c07.jpg,,Fresh Fruit,Green Kiwi,4,4030,unit,4,2026-04-14,2026-04-13
1,Banana,Guineo,Single fresh banana. Ripe and ready to eat.,Un guineo fresco. Maduro y listo para comer.,79,0,false,,,,,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_660f23f5-11f9-4e5d-9b64-7e69348ade1a.jpg,,Fresh Fruit,Banana,5,4011,estimated_each,4,2026-04-14,2026-04-13
1,Lemon,Limón Amarillo,"Single fresh lemon for cooking, baking, and drinks.","Un limón amarillo fresco para cocinar, hornear y bebidas.",83,0,false,1,each,each,each,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_86387158-32f9-4d2c-9fbc-01852aa880f9.jpg,,Fresh Fruit,Lemon,6,4958,unit,4,2026-04-14,2026-04-13
1,Dill Bunch,Manojo de Eneldo,"Fresh dill bunch. Use to season fish, potatoes, and pickles.","Manojo de eneldo fresco. Para sazonar pescado, papas y encurtidos.",249,0,false,1,lb bunch,lb bunch,lb bunch,false,,true,true,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_65cd0357-c38f-4b7b-a859-fd930822dfb4.jpg,,Fresh Vegetables,Dill Bunch,9,4891,unit,4,2026-04-14,2026-04-13
1,Pomegranate,Granada,Single pomegranate. Juicy seeds great for salads and snacking.,Una granada. Semillas jugosas ideales para ensaladas y meriendas.,399,0,false,1,each,each,each,false,,true,true,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6efd508a-6c5c-46ae-afdf-77d2c9921e05.jpg,,Fresh Fruit,Pomegranate,7,3127,unit,4,2026-04-14,2026-04-13
1,Green Onions (Scallions),Cebollines (Cebolletas),"Bunch of fresh scallions. Used in sofrito, soups, and garnishes.","Manojo de cebollines frescos. Para sofrito, sopas y decorar platos.",167,0,false,1,bunch,bunch,bunch,true,133,true,true,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_52f86e5a-a448-4186-b726-2e6f506a5a4a.jpg,,Fresh Vegetables,Green Onions (Scallions),10,4068,unit,4,2026-04-14,2026-04-13
1,Blackberries,Moras,"Fresh blackberries. 6 oz package, sweet and ready to eat.","Moras frescas. Paquete de 6 oz, dulces y listas para comer.",299,0,false,6,oz,oz,oz,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_de08584c-9701-4c0e-b950-87c3dece4a84.jpg,,Fresh Fruit,Blackberries,8,812049007304,unit,4,2026-04-14,2026-04-13
1,Iceberg Lettuce,Lechuga Iceberg,"Crisp iceberg lettuce head for salads, sandwiches, and tacos.","Cabeza de lechuga iceberg crujiente para ensaladas, sándwiches y tacos.",399,0,false,1,each,each,each,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3ea38082-38f8-41f8-a6fc-0c4ed481c040.jpg,,Fresh Vegetables,Iceberg Lettuce,11,73574650506,unit,4,2026-04-14,2026-04-13
1,Plain Parsley,Perejil,"Fresh flat-leaf parsley bunch for sofrito, soups, and seasoning.","Manojo de perejil fresco para sofrito, sopas y sazonar.",129,0,false,1,bunch,bunch,bunch,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a6454e6d-4e32-4afc-aaf2-11997b6f1b4b.jpg,,Fresh Vegetables,Plain Parsley,12,4901,unit,4,2026-04-14,2026-04-13
1,Driscoll's Strawberries,Fresas Driscoll's,"Fresh strawberries. 16 oz package, ready to eat or use in desserts.","Fresas frescas. Paquete de 16 oz, listas para comer o usar en postres.",250,0,false,16,oz,oz,oz,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_443ebde8-2aaf-4b78-87a5-5b1f01c5274e.jpg,driscoll's,Fresh Fruit,Driscoll's Strawberries,9,715756200023,unit,4,2026-04-14,2026-04-13
1,Pero Family Farms Fresh Snipped Green Beans,Pero Family Farms Habichuelas Tiernas Cortadas Frescas,"Pre-trimmed fresh green beans. 12 oz bag, ready to cook.","Habichuelas tiernas frescas ya cortadas. Bolsa de 12 oz, listas para cocinar.",399,0,false,12,oz,oz,oz,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8c1d955a-4bcb-4e2c-8532-33f3a514b82e.png,pero family farms,Fresh Vegetables,Pero Family Farms Fresh Snipped Green Beans,13,874896007081,unit,4,2026-04-14,2026-04-13
1,Asparagus,Espárragos,"Fresh asparagus bunch. Great roasted, grilled, or steamed.","Manojo de espárragos frescos. Sabroso al horno, a la parrilla o al vapor.",499,0,false,1,lb bunch,lb bunch,lb bunch,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_177a030e-fce6-4a78-8926-dd4ffeec040f.jpg,,Fresh Vegetables,Asparagus,14,4080,weight,4,2026-04-14,2026-04-13
1,Cantaloupe,Melón Cantalupo,"Whole cantaloupe melon. Sweet, juicy fruit for breakfast or snacks.",Melón cantalupo entero. Fruta dulce y jugosa para desayuno o meriendas.,399,0,false,1,each,each,each,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7141bee7-5730-4347-a032-339c0beac2e4.jpg,,Fresh Fruit,Cantaloupe,10,4049,unit,4,2026-04-14,2026-04-13
1,Organic Banana,Guineo Orgánico,"Organic bananas, sold by the pound.","Guineos orgánicos, se venden por libra.",129,0,false,1,lb,lb,lb,false,,true,true,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_17b704c5-b4df-4831-ac14-6260baa59a13.jpg,,Fresh Fruit,Organic Banana,11,94011,estimated_each,4,2026-04-14,2026-04-13
1,Green Seedless Grapes,Uvas Verdes sin Semillas,Fresh green seedless grapes. Sold by the pound bunch.,Uvas verdes frescas sin semillas. Se venden por manojo de 1 lb.,399,0,false,1,lb bunch,lb bunch,lb bunch,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c117f005-345d-4885-8a7d-7cdc296d1700.jpg,,Fresh Fruit,Green Seedless Grapes,12,4498,weight,4,2026-04-14,2026-04-13
1,Pero Family Farms Mini Sweet Peppers,Pero Family Farms Mini Ajíes Dulces,"Mini sweet bell peppers. 8 oz bag, great for snacks or salads.","Mini ajíes dulces. Bolsa de 8 oz, ideales para meriendas o ensaladas.",349,0,false,8,oz,oz,oz,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_32449d78-4b88-4f10-b16d-d1365e6481e1.png,pero family farms,Fresh Vegetables,Pero Family Farms Mini Sweet Peppers,15,874896005582,unit,4,2026-04-14,2026-04-13
1,"Dole Carrots, Mini Cut","Dole Zanahorias, Mini Cortadas","Pre-cut baby carrots. 16 oz bag, ready to snack or cook.","Mini zanahorias ya cortadas. Bolsa de 16 oz, listas para merendar o cocinar.",199,0,false,16,oz,oz,oz,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7fb5e86c-b82c-4d35-b8e1-01d47a1f4e71.png,dole,Fresh Vegetables,"Dole Carrots, Mini Cut",16,7143000025,unit,8199,2026-04-14,2026-04-13
1,Driscoll's Raspberries,Frambuesas Driscoll's,"Fresh raspberries. 6 oz package, sweet and ready to eat.","Frambuesas frescas. Paquete de 6 oz, dulces y listas para comer.",599,0,false,6,oz,oz,oz,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_29c99e4d-6f39-4776-929a-08d694a5b05c.jpg,driscoll's,Fresh Fruit,Driscoll's Raspberries,13,7503018074078,unit,4,2026-04-14,2026-04-13
1,Hass Avocado,Aguacate Hass,"Single Hass avocado. Creamy texture, great for guacamole or toast.","Un aguacate Hass. Textura cremosa, ideal para guacamole o tostadas.",125,0,false,1,ct,ct,ct,false,,true,false,false,true,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ce5de1ca-4770-404b-b166-274ac0d059dd.JPG,,Fresh Fruit,Hass Avocado,14,4046,unit,4,2026-04-14,2026-04-13
